field,lmax,eps_grid,eps_parseval,frac_coeffs_retained,n_coeffs
gravity,2,0.7067251430797836,0.7067251430797836,6.906024355245893e-05,9
gravity,3,0.4732389047678897,0.4732389047678897,0.00012277376631548254,16
gravity,4,0.3417342226864301,0.3417342226864301,0.00019183400986794147,25
gravity,5,0.27193603053574045,0.27193603053574045,0.0002762409742098357,36
gravity,6,0.22001934564327846,0.22001934564327846,0.00037599465934116526,49
gravity,7,0.17448161437080328,0.17448161437080328,0.0004910950652619302,64
gravity,8,0.15164833007415413,0.15164833007415413,0.0006215421919721304,81
gravity,9,0.131257098751624,0.131257098751624,0.0007673360394717659,100
gravity,10,0.11498287936123294,0.11498287936123294,0.0009284766077608367,121
gravity,12,0.10139999616234689,0.10139999616234689,0.0012967979067072843,169
gravity,13,0.09194546159759823,0.09194546159759823,0.001503978637364661,196
gravity,15,0.08448342316821118,0.08448342316821118,0.0019643802610477207,256
gravity,16,0.08079699649738219,0.08079699649738219,0.0022176011540734034,289
gravity,18,0.07521135687723636,0.07521135687723636,0.002770083102493075,361
gravity,20,0.07090427013356428,0.07090427013356428,0.0033839519340704877,441
gravity,23,0.0651193540359506,0.0651193540359506,0.004419855587357371,576
gravity,25,0.06236153201144989,0.06236153201144989,0.005187191626829137,676
gravity,28,0.05933404275859286,0.05933404275859286,0.006453296091957551,841
gravity,30,0.05725158482291365,0.05725158482291365,0.00737409933932367,961
gravity,32,0.055412854953285774,0.055412854953285774,0.00835628946984753,1089
gravity,35,0.05219870281302378,0.05219870281302378,0.009944675071554086,1296
gravity,40,0.0480744201321287,0.0480744201321287,0.012898918823520384,1681
gravity,44,0.045418483520137005,0.045418483520137005,0.015538554799303259,2025
gravity,49,0.042278555086636346,0.042278555086636346,0.019183400986794146,2500
gravity,55,0.03893939411084549,0.03893939411084549,0.024063658197834577,3136
gravity,61,0.03592345773577603,0.03592345773577603,0.02949639735729468,3844
gravity,69,0.03270227998302715,0.03270227998302715,0.037599465934116526,4900
gravity,77,0.030130344393214322,0.030130344393214322,0.046684724641462234,6084
gravity,86,0.027227938603478385,0.027227938603478385,0.058079664827617956,7569
gravity,90,0.026182845524914643,0.026182845524914643,0.06354309742865694,8281
gravity,96,0.02458966513269704,0.02458966513269704,0.07219864795389845,9409
gravity,107,0.021984994665873198,0.021984994665873198,0.08950207564398677,11664
gravity,119,0.019368961592123386,0.019368961592123386,0.11049638968393428,14400
gravity,133,0.016856532282396464,0.016856532282396464,0.1377828592475503,17956
gravity,149,0.01455054076676911,0.01455054076676911,0.17265060888114733,22500
gravity,166,0.012479353577365059,0.012479353577365059,0.21400234804828078,27889
gravity,186,0.01045528174236909,0.01045528174236909,0.2683297396428818,34969
gravity,207,0.008782245875541592,0.008782245875541592,0.33198026411706477,43264
gravity,231,0.0071729297887022335,0.0071729297887022335,0.41301094988528325,53824
gravity,258,0.005662887788989749,0.005662887788989749,0.5147366886380552,67081
gravity,289,0.004253221874392022,0.004253221874392022,0.6453296091957551,84100
gravity,322,0.002782148390046419,0.002782148390046419,0.8005540166204986,104329
gravity,360,0.0,0.0,1.0,130321
magnetic,1,0.24864798287278714,0.24864798287278714,0.02040816326530612,4
magnetic,2,0.15067602916306186,0.15067602916306186,0.04591836734693878,9
magnetic,3,0.07179587556102116,0.07179587556102116,0.08163265306122448,16
magnetic,4,0.033168008560199067,0.033168008560199067,0.12755102040816327,25
magnetic,5,0.015130178230940233,0.015130178230940233,0.1836734693877551,36
magnetic,6,0.009403640075636335,0.009403640075636335,0.25,49
magnetic,7,0.0044452814284548555,0.0044452814284548555,0.32653061224489793,64
magnetic,8,0.0029044344401773837,0.0029044344401773837,0.413265306122449,81
magnetic,9,0.0013693409358908162,0.0013693409358908162,0.5102040816326531,100
magnetic,10,0.0007052304138175924,0.0007052304138175924,0.6173469387755102,121
magnetic,11,0.00039863980918940494,0.00039863980918940494,0.7346938775510204,144
magnetic,12,0.00024014104398818037,0.00024014104398818037,0.8622448979591837,169
magnetic,13,0.0,0.0,1.0,196
lithospheric,2,1.0,1.0,0.0005012252171975941,9
lithospheric,3,1.0,1.0,0.0008910670527957229,16
lithospheric,4,1.0,1.0,0.001392292269993317,25
lithospheric,5,1.0,1.0,0.0020049008687903764,36
lithospheric,6,1.0,1.0,0.0027288928491869015,49
lithospheric,7,1.0,1.0,0.0035642682111828917,64
lithospheric,8,1.0,1.0,0.004511026954778347,81
lithospheric,9,1.0,1.0,0.005569169079973268,100
lithospheric,10,1.0,1.0,0.006738694586767654,121
lithospheric,11,1.0,1.0,0.008019603475161506,144
lithospheric,12,1.0,1.0,0.009411895745154823,169
lithospheric,13,1.0,1.0,0.010915571396747606,196
lithospheric,14,1.0,1.0,0.012530630429939854,225
lithospheric,16,0.9983175678547249,0.9983175678547249,0.016094898641122745,289
lithospheric,17,0.9964045804143186,0.9964045804143186,0.01804410781911339,324
lithospheric,19,0.9935776079484392,0.9935776079484392,0.022276676319893073,400
lithospheric,20,0.99142456352591,0.99142456352591,0.024560035642682113,441
lithospheric,22,0.9873192824324415,0.9873192824324415,0.02946090443305859,529
lithospheric,24,0.9820578935839338,0.9820578935839338,0.03480730674983293,625
lithospheric,27,0.9723580493857195,0.9723580493857195,0.043662285586990424,784
lithospheric,29,0.9680163079452238,0.9680163079452238,0.050122521719759415,900
lithospheric,30,0.9645084467319991,0.9645084467319991,0.05351971485854311,961
lithospheric,32,0.9590041747831669,0.9590041747831669,0.06064825128090889,1089
lithospheric,35,0.9501764088136087,0.9501764088136087,0.07217643127645355,1296
lithospheric,38,0.9403675204673394,0.9403675204673394,0.0847070617063934,1521
lithospheric,42,0.923243987590412,0.923243987590412,0.10297393628870573,1849
lithospheric,46,0.9070212233211835,0.9070212233211835,0.1230229449766095,2209
lithospheric,50,0.8881022076707169,0.8881022076707169,0.1448540877701047,2601
lithospheric,54,0.866668234319635,0.866668234319635,0.16846736466919135,3025
lithospheric,60,0.8320727336659036,0.8320727336659036,0.2072287814658053,3721
lithospheric,65,0.8063787754070048,0.8063787754070048,0.24259300512363555,4356
lithospheric,71,0.7804137967264752,0.7804137967264752,0.2887057251058142,5184
lithospheric,78,0.7415691057234803,0.7415691057234803,0.34757184228113164,6241
lithospheric,80,0.7279188889629167,0.7279188889629167,0.3653931833370461,6561
lithospheric,85,0.6970609233415512,0.6970609233415512,0.4118957451548229,7396
lithospheric,93,0.6410312441204777,0.6410312441204777,0.492091779906438,8836
lithospheric,102,0.561889610463661,0.561889610463661,0.590833147694364,10609
lithospheric,111,0.47609996278404026,0.47609996278404026,0.6985965693918468,12544
lithospheric,122,0.320358833705937,0.320358833705937,0.8425595901091557,15129
lithospheric,133,0.0,0.0,1.0,17956
